title,overview,genres,language
Aamis,Dark Assamese story about obsession and love,Drama Thriller,Assamese
Local Kung Fu 2,Comedy action film set in Assam,Action Comedy,Assamese
Bhoga Khirikee,Lighthearted Assamese village comedy,Comedy Drama,Assamese
Xagor Xipare,Thriller based on river island life,Thriller Drama,Assamese

Scam 1992,Stock market scam story in India,Drama Crime,Hindi
Mirzapur,Crime mafia story in UP,Crime Action,Hindi
Panchayat,Rural governance comedy drama,Comedy Drama,Hindi
Delhi Crime,Police investigation based on real case,Crime Thriller,Hindi
Kota Factory,Student life in Kota coaching,Drama,Hindi
Sacred Games,Crime thriller in Mumbai,Crime Thriller,Hindi
Article 15,Social justice crime drama,Crime Drama,Hindi
Gully Boy,Rapper rise story,Drama Music,Hindi
Raazi,Spy thriller drama,Thriller Drama,Hindi
Uri,Military action drama,Action War,Hindi
Shershaah,War hero biography,War Drama,Hindi
Jawan,Mass action entertainer,Action Drama,Hindi
Pathaan,Spy action thriller,Action Thriller,Hindi
Tiger 3,Spy universe action,Action Thriller,Hindi
Rockstar,Musical romantic drama,Romance Drama,Hindi
Tamasha,Love and identity story,Drama Romance,Hindi

KGF Chapter 2,Gold mafia action saga,Action Drama,Kannada
KGF Chapter 1,Gold mine mafia story,Action Drama,Kannada
Kantara,Folklore action thriller,Action Thriller,Kannada
777 Charlie,Emotional story of man and dog,Drama,Kannada

Sairat,Inter-caste love story in Maharashtra,Romance Drama,Marathi
Court,Judicial system drama in India,Drama,Marathi
Fandry,Social issue based love story,Drama Romance,Marathi

Vikram Vedha,Cat and mouse crime story,Action Thriller,Tamil
Soorarai Pottru,Biographical aviation drama,Drama,Tamil
Master,College gangster action film,Action Thriller,Tamil

Drishyam,Murder mystery thriller,Thriller Crime,Malayalam
Kumbalangi Nights,Family emotional drama,Drama,Malayalam

Stranger Things,Kids face supernatural horror,Sci-Fi Horror,English
Breaking Bad,Chemistry teacher turns drug lord,Crime Drama,English
Money Heist,Heist thriller series,Crime Thriller,English
The Crown,British royal drama,Drama,English

Dark,Time travel mystery,Sci-Fi Thriller,German
Squid Game,Deadly survival game thriller,Thriller Drama,Korean
Parasite,Class divide thriller,Thriller Drama,Korean
Train to Busan,Zombie survival horror,Horror Thriller,Korean
Oldboy,Korean revenge thriller,Thriller Drama,Korean

Your Name,Anime romantic fantasy,Romance Fantasy,Japanese
Spirited Away,Fantasy animated adventure,Fantasy Animation,Japanese
Naruto,Ninja anime adventure,Action Adventure,Japanese
Death Note,Intelligent crime thriller anime,Crime Thriller,Japanese

Avengers Endgame,Superhero final battle,Action Sci-Fi,English
Inception,Dream-based sci-fi thriller,Sci-Fi Thriller,English
Interstellar,Space exploration drama,Sci-Fi Drama,English
The Matrix,Virtual reality sci-fi,Sci-Fi Action,English
John Wick,Assassin revenge action,Action Crime,English
Extraction,Rescue mission action film,Action Thriller,English

Ghoul,A horror miniseries, Horror,Hindi
Selection Day,A story of two brothers chasing cricket dreams,Sports drama,Hindi
Leila,A dystopian tale of a mother searching for her lost daughter,Science fiction drama,Hindi
Masaba Masaba,A fictionalized glimpse,Biographical dramedy,Hindi
Bhaag Beanie Bhaag,A young woman pursues her dream,Romantic comedy,Hindi
Bombay Begums,Follows modern women navigating ambition and relationships in Mumbai,Drama,Hindi
Aranyak,A cop investigates mysterious killings in a Himalayan town,Crime thriller,Hindi
Yeh Kaali Kaali Ankhein,A man gets trapped in an obsessive love story turned dark,Romantic thriller,Hindi
Eternally Confused and Eager for Love,A socially awkward man struggles with relationships and adulthood,Comedy drama,English
Mai: A Mother's Rage,A mother seeks revenge after her daughter's tragic death,Crime thriller,Hindi
Trial by Fire,Based on real events of a tragic fire and the fight for justice,Crime drama,Hindi
Guns & Gulaabs,A quirky crime story mixing romance violence and humor,Comedy Crime thriller,Hindi
Killer Soup,A dark comedy about a woman plotting to replace her husband,Dark comedy,Hindi
The Game: You Never Play Alone,A suspenseful crime story revolving around psychological manipulation,Crime thriller,Tamil
Single Papa,A single father navigates parenting and personal struggles,Comedy drama,Hindi
Taskaree,A crime thriller exploring illegal activities and survival,Crime thriller,Hindi
Super Subbu,A light-hearted story of a young man's life and relationships,Comedy drama,Telugu
Akka,A gritty tale of crime and survival in a harsh world,Crime drama,Hindi
Cricket Fever: Mumbai Indians,A documentary following the journey of an IPL team,Sports,English
Crime Stories: India Detectives,Real-life crime investigations by Indian police officers,True crime,Kannada
Little Things,A couple navigates love and everyday life in a modern relationship,Romantic comedy,English/Hindi
Krishna and His Leela,A romantic story exploring love breakups and relationships,Romantic comedy,Telugu
Maniyarayile Ashokan,A man faces insecurities while searching for love,Comedy drama,Malayalam
Miss India,A woman builds a tea business while overcoming challenges,Romantic drama,Telugu
Andhaghaaram,An intense supernatural thriller connecting multiple dark stories,Supernatural horror thriller,Tamil
Torbaaz,A man trains refugee children through cricket for a better future,Action thriller,Hindi
Aelay,A humorous story of a son's relationship with his father,Comedy drama,Tamil
Irul,A mystery unfolds when strangers get trapped in a house,Mystery thriller,Malayalam
Mandela,A villager becomes crucial in a political election satire,Political satire,Tamil
Mimi,A surrogate mother faces emotional and social challenges,Comedy drama,Hindi
Boomika,A horror-thriller exploring mysterious events in a forest,Action thriller,Tamil
Dasvi,A politician enrolls in school to complete his education,Social comedy,Hindi
